コメント,みんなで記念日をお祝いするって聞いたんですけど…なんだか不思議な感じがしますね。私がアイドルになってもうそんなに経ったなんて…○○さんもそう思いませんか?
マイスタジオ,皆で笑顔になれたらいいなって
,時間が過ぎるのって早いですね
,写真撮りましょうか?これ、小さいけど撮れるんです…トイカメラ♪
,乾杯、しましょうか?
お仕事,みんなで息を合わせて…
,みんなが優しくなれるように♪
,みんなを笑顔にしたいですね
,私には私のペースがあるんですよね。のんびり行きましょう♪
お仕事(親愛度UP),○○さん、今日も一緒にがんばりましょうね!
LIVEバトル,楽しみましょう!
親愛度MAX,こんな私がアイドルとしてお仕事を続けてこれたのは○○さんのおかげですよ!さすがは名プロデューサーさんですね♪
マイスタジオ(親愛度MAX),○○さんやみんなの笑顔があるこの時間…ステキですね
お仕事(親愛度MAX),○○さんが一緒にいるからお仕事続けていけるんです
コメント,私…このステージでみんなとLIVE出来て、本当に幸せです。こんなにたくさんのファンに私たちの歌を聴いてもらえるなんて…胸がいっぱいで…。やっぱり、アイドルのお仕事って、楽しいです!
マイスタジオ,皆で笑顔になれたらいいなって
,時間が過ぎるのって早いですね
,ファンの方にありがとうを言える機会…そう考えると嬉しいです
,えっ? 眼鏡…ですか…?
お仕事,みんなが優しくなれるように♪
,笑顔でLIVEするとみんなも笑顔になってくれるんですよ♪
,みんなとなら、できますっ
,みんなを笑顔にしたいですね
お仕事(親愛度UP),○○さん、これからもずっと、一緒にお仕事して下さい
LIVEバトル,みんな、ありがとうっ!
親愛度MAX,ファンのみなさんが優しい気持ちになって笑顔になってくれたら嬉しいな。もちろん、○○さんだって…ですよ♪
マイスタジオ(親愛度MAX),○○さんと一緒に歩んで行ければ嬉しいんです!
お仕事(親愛度MAX),私、まだまだ歌い足りないです! もっとLIVEしたいなって!
予告,記念日って素敵ですよね。だってみんなでお祝いしたら、みんなで笑顔になれるんですから…ねっ?
アイドル紹介,この1年があっという間でした♪
チャンスタイム,○○さん、ちょっといいですか? ふふっ…私、もっと色んなお話したいです。…いいですか?
プロデュース,時間が経つのって、早いですね
,○○さんとお話するの、好きですよ
,ふふっ、私ですか? とても楽しいですよ♪
,○○さん、ほら乾杯しましょ? かんぱーい!
,アイドルになって、こんなに経ったなんて…
,今日までお疲れさまでした…ってまだこれからですよね
,○○さんと一緒に過ごせて嬉しいなっ
,ファンの人から貰った手紙を時々読むとがんばろうって思えます
,みんなとパーティするのって、楽しいです
,みんな楽しそう…。笑顔は優しい気持ちになれますね
絆レベルアップ,あの、これ受け取って下さい。お世話になったお礼の気持ちです。
,これからもプロデュース、よろしくお願いします!
目標絆Lv到達,パーティーとても楽しかったですね。○○さんともたくさんお話できて大満足です! これからもよろしくお願いします!
イベント発生,今日のパーティのためにお菓子作ってきたんですよ! 食べてくださいっ
パーフェクト,○○さんが好みそうな味にしたつもりなんですが…いかがですか?
グッド,実は自信作なんですよ! 感想聞かせてください!
ノーマル,やっぱりみんなに食べてもらえるっていうのは嬉しいですね
イベント発生,私、カメラ持ってきてるんです。せっかくですからみんなで写真撮りませんか!
パーフェクト,…あとで○○さんと2ショット撮りたいな。…あ、聞いてました?
グッド,○○さんは私の隣で…いいですか?
ノーマル,あぁっ! シャッターは誰に押してもらいましょう…?
イベント発生,みんな楽しそうですね。私も今だけはお仕事忘れてはしゃいじゃおうかな?
パーフェクト,○○さん…ほら、一緒に…カンパイ!
グッド,楽しい時間があっという間に過ぎちゃうのが残念ですよね
ノーマル,こういう時間がきっと大切な思い出になるんですよ
イベント発生,あの、春菜ちゃんがかけてって…いかがでしょう?
パーフェクト,似あってますか? なら…良かったです。嬉しいな
グッド,なんだか…かけなれないのでおちつかないですね…眼鏡…
ノーマル,度は入ってないと思うんですけど、なんだかフラフラ…?
イベント発生,最近お仕事忙しかったので…こうしてみんなで過ごせるのもいいなって思いますね
パーフェクト,○○さんの笑顔…やっぱり素敵です。って、すみません、恥ずかしいですね
グッド,みんな笑顔だと、私も嬉しくなっちゃいます!
ノーマル,忙しいのは嬉しいんですけど…もう少しみんなとの時間、欲しいです
イベント発生,○○さんもなにか飲みます?私が注いであげますから♪
パーフェクト,いつもお世話になってばっかりなんですから、こういう時くらい私にお世話させて下さい。ね?
グッド,お疲れ様です。まぁまぁ1杯どうぞ～…なーんて、こんな感じでどうですか?
ノーマル,ふふっ、別に遠慮しなくてもいいんですよ?
イベント発生,記念にスペシャルライブをするって聞いて…実はちょっとドキドキしてるんです
パーフェクト,でも○○さんと話してたら不思議と大丈夫な気がしてます。なんででしょうね?
グッド,適度な緊張感を持ってれば、きっと失敗しないですよね
ノーマル,ドキドキって言うか…緊張しちゃってます…。こんな時はどうしたらいいのかな?
イベント発生,○○さん、私のお洋服どう思います? 浮かないかなって心配なんですけど…
パーフェクト,これ、私のお気に入りなんですよ。○○さんに褒められると嬉しいです♪
グッド,似合ってるって言ってもらえると嬉しいですね♪
ノーマル,んー…○○さんにはもうちょっと乙女心というものを分かってもらいたいな…
イベント発生,○○さん、もう少し私とお話しませんか?
パーフェクト,○○さんとこうしてゆっくり話せる機会って、なかなか無いですから…
グッド,何か話したい事があるとかそういう訳じゃないんですけど…もっと一緒にお話したいなって…
ノーマル,ん…やっぱり大丈夫です。ほかの子たちのところにも行ってあげて下さい
プロデュース,この1年の集大成を、見せたいです!
,私のLIVEでたくさんの人を笑顔にしてきますね!
,ファンのみなさんに優しい気持ちを届けます
,以前の私には、想像もつかないステージです…
,たくさんのファンのみなさんの前で歌うの…やっぱり緊張します
,LIVEの前はやっぱり緊張しますねっ
,気負わないで、いつも通り…ですね
,ファンのみなさんにチョコを渡した時のこと、思い出しちゃいました
,あらもーど! …懐かしいですね、ふふ
,もしかして、○○さんも緊張してます?
,私、○○さんがプロデューサーで良かったです!
,○○さん! 私のLIVE、ちゃんと見ててくださいね!
,今までのレッスンの成果、見せますから!
,精一杯、ステージで輝いてきますね!
,○○さんにプロデュースしてもらった恩返しです
絆レベルアップ,私、○○さんのおかげでここまでアイドル続けてこられました。
,気持ちいっぱい込めたプレゼントです。受け取ってください!
,○○さん、はいっ、どうぞ! いつもお仕事ありがとうございます!
,これからも一緒に笑顔でがんばりましょうね♪
目標絆Lv到達,私が今ステージに立てているのは○○さんがプロデュースしてくれたおかげです。
,本当に…ありがとうございます…!
イベント発生,こんな大きなステージでLIVEできるなんて… 1年前は思ってもいませんでした…
パーフェクト,私だけの力じゃない、みんなや○○さんがいてくれたお陰ですね
グッド,応援し続けてくれたファンのみなさんに喜んでもらえるLIVEにしちゃいます!
ノーマル,改めてステージみると緊張しちゃいますね…。はっ…ここで気負されたらダメですっ
イベント発生,私1人でステージに立つわけじゃないから、みんなとのコンビネーションも考えないとですね…!
パーフェクト,歌鈴ちゃんや春菜ちゃんと頑張ってきたレッスンの成果、見せちゃいますっ
グッド,歌鈴ちゃんや春菜ちゃんとしっかりと話し合って、よりいいLIVEが出来るようにがんばります!
ノーマル,みんなで練習したんですから、きっと大丈夫ですよね!
イベント発生,みんなのLIVE見てると、とってもすごいなぁって思います。私も、ちゃんと出来てますか…?
