入手時,○○さんのおかげで、私もついにCDデビューできました。
,みんなが私の歌を聴いて、優しい気持ちになってくれたら嬉しいな…
コメント,私の歌がCDになるんですね…今、私、幸せな気持ちでいっぱいですっ…!この気持ち、もっとたくさんの人に届けたいです!
,ここがゴールじゃなくて、ここからがスタート、ですねっ
マイスタジオ,○○さん、衣装で記念撮影したいですっ♪
,優しい気持ちになれる曲です♪
,みんなの笑顔が見たいなっ
,(お花、いい匂い…)
お仕事,スタジオに風が…扇風機ですか?
,今、とっても幸せです!
,ゆっくり聞いてほしいな
,この衣装、ふわふわで嬉しいですっ♪ ふわふわ～…ふふっ
お仕事(親愛度UP),ほらっ♪ ○○さん、風が気持ちいいですよっ
LIVEバトル,ゆっくりしましょうか♪
親愛度MAX,○○さんが私をこんなに幸せにしてくれたから、きっと私も誰かを幸せに出来るはず…私、頑張りますねっ
マイスタジオ(親愛度MAX),とっておきのカフェで打ち上げしませんかっ? その、二人で…
お仕事(親愛度MAX),○○さん、このままお散歩しませんか? うふふ♪
コメント,アイドルになって本当に良かったって、今、心からそう思えます。
,ファンのみなさんが優しい気持ちになれるような、微笑んでくれるようなアイドルに一歩近づけたって思うから…!
マイスタジオ,みんなの笑顔が見たいなっ
,この気持ち、届いてますか?
,うふふ、ステージからみんなの笑顔が見えてますよっ
,優しい気持ちになれる曲です♪
お仕事,今、とっても幸せです!
,座って歌っていたら、しっかりみんなの顔が見えますね
,ゆっくり聞いてほしいな
,ゆっくり…し過ぎですか?
お仕事(親愛度UP),○○さんと過ごす毎日が、私の宝物ですっ
LIVEバトル,もっとのんびりしましょ♪
親愛度MAX,○○さん、これからも二人で幸せをつくっていきましょうねっ!
,…って、あ…あの、深い意味は無いですからねっ!?
マイスタジオ(親愛度MAX),○○さんもほらっ、いっしょに笑ってください♪
お仕事(親愛度MAX),○○さんとだから、こんなに幸せに歌えるんですよっ
