入手時,かわいい黒猫さん、こんにちは。ふふっ、今日も素敵な出会いがありました。
,ハロウィンにお散歩もいいですね♪
,一枚一枚が大切な思い出なんです。
,何気ない日常が思い出になるって素敵なことだと思いませんか?
,私が写真を撮られるのって、お仕事ばかりですね…。
,今日は一緒の写真が撮れたら…あ、なんでもありません。ふふ
コメント,黒猫さん、ハロウィンらしい素敵な1枚をありがとうっ。こうして日々、少しずつ幸せを集めてると思えば、○○さんも心が暖かくなりませんか?いつか…幸せで心が溢れちゃうかも…♪
マイスタジオ,かぼちゃ、美味しいですよね♪
,控えめですけど、いいんですっ
,今日の1枚、今日も幸せです♪
,ハロウィンのイタズラも、普段と違う事で笑顔が生まれるって思います
お仕事,毎日お祭り気分で楽しく、です
,幸せな…ハロウィンの一日を…♪
,お仕事の様子も1枚…パシャ♪
,今日も一日、しっかり頑張りましょうね、○○さん
お仕事(親愛度UP),○○さん、一緒に1枚…あ、すみません、お仕事中に…
LIVEバトル,笑顔で歌いましょう♪
親愛度MAX,私、毎日その日の出来事を日記に書くんですけど…ハロウィンも、素敵な思い出ができました。『今日も、しあわせ』って書きますね
マイスタジオ(親愛度MAX),○○さんと、毎日小さな幸せを積み重ねてるみたい…
お仕事(親愛度MAX),○○さんと一緒だったら、大変なお仕事も幸せですっ
コメント,あっ、○○さん、今日の撮影は森の魔女風ですね。魔女って悪いイメージだけど、違うかも…って思うんです。だって…私が魔女だったら皆が笑顔になれる魔法を使いたいって思うから…
マイスタジオ,かぼちゃ、美味しいですよね♪
,控えめですけど、いいんですっ
,森林浴気分ですね…ふぅ…
,森にいそうって言われますけど…東京生まれの東京育ちで…
お仕事,毎日お祭り気分で楽しく、です
,幸せな…ハロウィンの一日を…♪
,セクシーな衣装は私…ちょっと…
,きゃ…!○○さん、む、虫がついて…取ってくださいっ
お仕事(親愛度UP),私の笑顔は…誰かを幸せにできる魔法に…なれるかな…?
LIVEバトル,自然体でいきましょう
親愛度MAX,魔法が使えなくっても…ファンのみなさんや、スタッフさんや…みんなを幸せにしてあげたいな…。もちろん、○○さんも…
マイスタジオ(親愛度MAX),○○さんには幸せの魔法をかけてあげたいですねっ
お仕事(親愛度MAX),○○さんの笑顔は、私を幸せにする魔法ですよ
思い出エピソード前編,あら…プロデューサーさん、お疲れさまです。今日もいいお天気ですね…事務所に来るまでお散歩してきちゃいました。
,そうそう、お散歩してて気付いたんですけど、世間はハロウィンシーズンなんですね。
,秋の季節って感じで、好きなんです、私。
,毎日レッスンやお仕事をして、たまのオフにカフェに行ったり…お散歩したり…日々、ゆっくりですけど、楽しく過ごしてますよ。
,これも、プロデューサーさんやみんなといっしょに、笑顔で過ごせているからかな…そう思います。
,でも、ハロウィンは楽しみですね。お祭りの日は普段と違って、みんなのいろんな一面が見られると思うから…。
,私の一面は…きっと、普段と変わらないと思いますけど…。仮装とかも…ちょっと、恥ずかしいですし…。
,私はやっぱり…プロデューサーさんの一面が知りたいですね。なんて、もし良かったら…ですけど…。
思い出エピソード後編,ふふっ、プロデューサーさん、お疲れさまです。今日も素敵な笑顔ですね。
,ハロウィンも本番ですね。でも、やっぱり私…コスプレとかは、勇気が持てなくって、…その、期待してたらすみません。
,あっ、でもハロウィンって素敵なイベントですよね。お散歩してたら素敵な飾り付けのカフェがあったんです。見に行きませんか?
,ほら、着きました。見てください、素敵な飾り付け…ガーデニングもいいですけど、こんなデコレーションもいいですね。
,あら…黒猫さん。ハロウィン風の飾り付けと合わさって、とってもいい雰囲気ですね。写真、撮ってもいいかな…?
,ふふ、撮れました。今日の素敵な1枚です。こうして毎日の、小さな、きらきらしたことを写真におさめてるんです。
,でも、もっともっと写真におさめたいものがいっぱいあります。たとえば…プロデューサーさんの、優しい眼差し…とか…
登場時,
,
LIVE開始,
,仮装でお散歩しましょうね
勝利,
,そ、そうですね♪(大魔女サリナさんたち、何かあったのかな…？)
引き分け,
,ふふ、ありがとう♪(もうちょっと魔力を抑えておかないと…)
敗北,
,
登場時,
,大魔女ミホ、大魔女アイコ、共に参上いたしました。 うふふ♪
LIVE開始,
,前と違って…ふわふわ♪
勝利,
,かわいい…♪ 歌の上手な小鳥さんに変えてあげたんだね!
引き分け,
,ええ。 みんなきっと、とても喜んでくれるはずです♪
敗北,
,ルミ女王が、人間流のハロウィンを気に入られたらしいですよ♪
登場時,刑事さん、やっと会えました～。面白い事件、起きてるんでしょ？
,
LIVE開始,それで、今回はどんな事件？
,
勝利,あらら、逃げられちゃいそう…？せっかくの特ダネが～！
,
引き分け,ふふっ、とっておきの情報、ありますよ♪風の噂なんですけど…
,
敗北,なるほど、相方さんの顔を見たら、なんとなく見えてきましたよ
