コメント,お疲れ様です、○○さん。現在、アイコ艦長は休憩中であります♪地球を救うため、艦隊を率いるなんて…大役ですよね。
,でも、自分のペースを崩さず、進みます。たとえそれが、宇宙でも…♪
マイスタジオ,私が、艦長…。責任重大ですね
,コホン。あ、あー。…全艦、全速前進！
,お散歩しましょう。宇宙まで♪
,この台詞は、堂々と勇ましく？やっぱり強く…でも優しく…
お仕事,『連装衝撃砲、撃てーっ！』
,アイドルは、宇宙だって救えます♪
,長い長い旅になりそうですね…
,『お願い、羽ばたいて！』一緒に旅した船…私たちの宝物です
お仕事（親愛度UP）,艦長は孤独？いいえ。仲間が、○○さんがいますから！
LIVEバトル,征きましょう、みなさん！
親愛度MAX,そろそろ行ってきます、○○さん。地球に帰って来たら、のんびりお散歩しましょうね。ふたりの約束…ですよ♪
マイスタジオ（親愛度MAX）,○○さんに教えてもらいたいです♪リーダーらしさを
お仕事（親愛度MAX）,○○さんの温かさを思えば…宇宙の冷たさも平気です
コメント,『あなたが絶望と終焉を告げるのなら…私たちは歌います！希望と命の歌を、何度でも！』いよいよクライマックスですね。
,長かった道のり…ありったけの思いを込めて歌いましょう。アイドルの力で！
マイスタジオ,私が、艦長…。責任重大ですね
,コホン。あ、あー。…全艦、全速前進！
,撃つだけが戦いでは…ないはず
,珠美ちゃんの斬艦刀なら、みんなの未来だって切り拓けますっ
お仕事,『連装衝撃砲、撃てーっ！』
,アイドルは、宇宙だって救えます♪
,抱きとめるのも、強さなんです
,『総員、歌唱開始。みなさんが愛する歌を、愛するままに！』
お仕事（親愛度UP）,艦長の務め…立派に果たしてきますね、○○さん！
LIVEバトル,ここが私たちの…正念場！
親愛度MAX,『アイコ艦長』はがんばりました♪帰ったら、どうか素敵な笑顔で『おかえりなさい』と出迎えてくださいね、○○さん
マイスタジオ（親愛度MAX）,たとえ地球は遠くても…○○さんの心は届いてますよ
お仕事（親愛度MAX）,○○さんもご一緒に♪声と心を重ねましょうっ
登場時,世界にたくさんの色が溢れ出す、春…。一緒に楽しみましょうっ
,
LIVE開始,素敵な色に出会えそう♪
,
勝利,ぽかぽかの声援で、心もすっかり春めきましたね、加奈ちゃん♪
,
引き分け,
,
敗北,ふふっ。春の色、見ーつけた。肇ちゃんの笑顔の中にも…ほら♪
,
