コメント,わぁ～♪まん丸もふもふで…ひまわりの種をほっぺいっぱいに頬張って…ふふ、欲張りさんですね。ほっぺがプク～って♪なんだか、○○さんに似てるみたい。ほら、可愛いですよっ
マイスタジオ,小さくて、大きな幸せですね♪
,大好きを、ぎゅっと詰め込んで
,ほら、おかわりはいかが？
,ハムスターはすばしっこいから、逃げないように…あぁっ、待って～
お仕事,一緒にもふもふ、しましょうね
,可愛く撮ってくださいねっ
,つんつん…種、落ちないのかな？
,じーっと見てるとハムスターに似てきたかも？ふわふわなとこ、とか
お仕事(親愛度UP),この子、○○さんみたい。ほら、ぽかぽかしてますし♪
LIVEバトル,優しく撫でてくださいね
親愛度MAX,時間がゆったり流れていますね。この子と、○○さんのおかげかも。あたたかな温度が、私を包んでくれていますから…
マイスタジオ(親愛度MAX),陽だまりのような○○さんの優しさで包んでください
お仕事(親愛度MAX),思いやりのある○○さんなら、この子も懐きますよ
コメント,あ、見つかっちゃいました♪ハムスター藍子はケージを抜け出して、春のお庭をお散歩中です。このお庭では、どんな素敵な出会いが待っているのかな～? ヒマワリの種より大きな幸せ、見つけましょう♪
マイスタジオ,小さくて、大きな幸せですね♪
,大好きを、ぎゅっと詰め込んで
,ぽかぽか…暖かいなぁ…
,春の暖かさ、体中で感じてますっ。お日様のいい匂いも…♪
お仕事,一緒にもふもふ、しましょうね
,可愛く撮ってくださいねっ
,ほっぺには何も入ってませんよ
,ハムスター藍子を、可愛がってください。もふもふしてもいいですよ
お仕事(親愛度UP),かぷっ！ハムスター藍子のいたずらです♪痛くはしませんから。ねっ
LIVEバトル,とことこ～…しゅたっ♪
親愛度MAX,春の匂いに誘われて、お散歩したら…見つかりました。ハムスター藍子のしあわせは…ファンのみんなと○○さんの笑顔です♪
マイスタジオ(親愛度MAX),○○さんもハムスターになって、一緒にお散歩しましょうっ
お仕事(親愛度MAX),○○さんの隣だと、ひまわりみたいな笑顔になれます
思い出エピソード前編,今日もお疲れさまでした♪最近は春らしく暖かい日も増えましたね。でも、朝晩は冷えますから、体調には気をつけましょうね。
,私は、もちろん元気ですよ♪この前のオフも、カメラを持ってお散歩に出掛けたんです。日差しがぽかぽかして、気持ちよさそうで。
,そんな陽気に誘われて、気の向くままに歩いていくと……つい遠くまでいってしまうんですよね。春は、お散歩の季節ですから。
,あ、でも迷子にはなりませんよ。安心してください。それに、知らない道の先には、不思議と素敵なお店があったりするんです♪
,可愛い小物を扱っている雑貨店とか、紅茶が美味しい小さなカフェとか……歩いた分だけ、素敵な出会いがあるんです。
,でも、最近はもっといろんなお店を見つけてみたくって。プロデューサーさんも、素敵なお店を知っていたら教えてくださいね。
,……はいっ、えぇと、お出掛けのお誘いですか？もちろんですっ。プロデューサーさんの素敵な場所、ぜひご一緒させてくださいっ。
思い出エピソード後編,わぁ～、ちっちゃいなぁ……てのひらの上でちょこちょこ動いて、あっち向いたりこっちを向いたり……。この子、可愛いっ♪
,……あっ、すみません、つい夢中になっちゃって。今まで、いろんなカフェに行きましたけど、ハムスターがいるお店は初めてなんです。
,こうして触れ合えるなんて、すごいですね。このモフモフなところを、いつでも撫でていたいくらい。ほら、もーふもふ。うふ♪
,それにカフェの雰囲気も素敵で……。可愛い雑貨に、インテリア。ゆったりとした空気……まるで、陽だまりにいるみたい……。
,プロデューサーさんが誘ってくれた理由が、よくわかりました。ハムちゃんもこのお店も、とっても癒やされて、私も大好きですから。
,……あら？うふふっ、見てください。ハムちゃんも、気持ちよくなってきたんでしょうか？うとうとしてきたみたい……。
,せっかくですから、そーっとお昼寝させてあげましょう。プロデューサーさん、この子が起きるまではお静かに……。しぃー、ですよ♪
登場時,
,笑顔溢れるフラワーガーデン…うふふっ、一緒に楽しみましょう♪
LIVE開始,
,この瞬間を、パシャリ♪
勝利,
,ぎゅぅっとしてると安心するな。ほら、手を握って…ねっ♪
引き分け,
,ありがとうございます♪お花みたいに優しく、私も咲きたいな
敗北,
,ゆったりしたLIVEもいいですよね。またお相手してください♪
